moviename,charactername,time
 Ant-Man,Adrian Toomes,0
 Ant-Man,Agent Phil Coulson,0
 Ant-Man,Aldrich Killian,0
 Ant-Man,Alexander Pierce,0
 Ant-Man,Algrim,0
 Ant-Man,Ancient One,0
 Ant-Man,Arnim Zola,0
 Ant-Man,Ayesha,0
 Ant-Man,Baron Mordo,0
 Ant-Man,Betty Ross,0
 Ant-Man,Bruce Banner,0
 Ant-Man,Bucky Barnes,0.25
 Ant-Man,Cassandra Lang,4.5
 Ant-Man,Chester Phillips,0
 Ant-Man,Christine Everhart,0
 Ant-Man,Christine Palmer,0
 Ant-Man,Clint Barton,0
 Ant-Man,Col. James Rhodes,0
 Ant-Man,Crossbones,0
 Ant-Man,Darcy Lewis,0
 Ant-Man,Darren Cross,14.5
 Ant-Man,Dr. Abraham Erskine,0
 Ant-Man,Dr. Helen Cho,0
 Ant-Man,Dr. Stephen Strange,0
 Ant-Man,Drax the Destroyer,0
 Ant-Man,Ego the Living Planet,0
 Ant-Man,Emil Blonsky,0
 Ant-Man,Erik Selvig,0
 Ant-Man,Fandral,0
 Ant-Man,Frigga,0
 Ant-Man,Gamora,0
 Ant-Man,Gen. Thaddeus Ross,0
 Ant-Man,Grandmaster,0
 Ant-Man,Groot,0
 Ant-Man,Hank Pym,24.75
 Ant-Man,Happy Hogan,0
 Ant-Man,Harley Keener,0
 Ant-Man,Heimdall,0
 Ant-Man,Hela,0
 Ant-Man,Ho Yinsen,0
 Ant-Man,Hogun,0
 Ant-Man,Hope van Dyne,15.75
 Ant-Man,Howard Stark,1
 Ant-Man,Ivan Vanko,0
 Ant-Man,Jane Foster,0
 Ant-Man,Jasper Sitwell,0
 Ant-Man,Johann Schmidt,0
 Ant-Man,Justin Hammer,0
 Ant-Man,Kaecilius,0
 Ant-Man,King Laufey,0
 Ant-Man,Korg,0
 Ant-Man,Kraglin,0
 Ant-Man,Laura Barton,0
 Ant-Man,Liz Allan,0
 Ant-Man,Loki,0
 Ant-Man,Luis,7
 Ant-Man,Malekith the Accursed,0
 Ant-Man,Mantis,0
 Ant-Man,Maria Hill,0
 Ant-Man,May Parker,0
 Ant-Man,Maya Hansen,0
 Ant-Man,Natasha Romanoff,0
 Ant-Man,Nebula,0
 Ant-Man,Ned Leeds,0
 Ant-Man,Nick Fury,0
 Ant-Man,Obadiah Stane,0
 Ant-Man,Odin,0
 Ant-Man,Paxton,4.5
 Ant-Man,Peggy Carter,0.75
 Ant-Man,Pepper Potts,0
 Ant-Man,Peter Parker,0
 Ant-Man,Peter Quill,0
 Ant-Man,Pietro Maximoff,0
 Ant-Man,Raza,0
 Ant-Man,Rocket Raccoon,0
 Ant-Man,Ronan the Accuser,0
 Ant-Man,Sam Wilson,2.75
 Ant-Man,Samuel Sterns,0
 Ant-Man,Savin,0
 Ant-Man,Scott Lang,50.5
 Ant-Man,Sharon Carter,0
 Ant-Man,Sif,0
 Ant-Man,Skurge,0
 Ant-Man,Steve Rogers,0.5
 Ant-Man,T'Challa,0
 Ant-Man,Taserface,0
 Ant-Man,The Collector,0
 Ant-Man,Thor,0
 Ant-Man,Tinkerer,0
 Ant-Man,Tony Stark,0
 Ant-Man,Trevor Slattery,0
 Ant-Man,Ultron,0
 Ant-Man,Valkyrie,0
 Ant-Man,Vision,0
 Ant-Man,Volstagg,0
 Ant-Man,Wanda Maximoff,0
 Ant-Man,Wong,0
 Ant-Man,Yondu Udonta,0
 Ant-Man,Zemo,0
 Avengers: Age Of Ultron,Adrian Toomes,0
 Avengers: Age Of Ultron,Agent Phil Coulson,0
 Avengers: Age Of Ultron,Aldrich Killian,0
 Avengers: Age Of Ultron,Alexander Pierce,0
 Avengers: Age Of Ultron,Algrim,0
 Avengers: Age Of Ultron,Ancient One,0
 Avengers: Age Of Ultron,Arnim Zola,0
 Avengers: Age Of Ultron,Ayesha,0
 Avengers: Age Of Ultron,Baron Mordo,0
 Avengers: Age Of Ultron,Betty Ross,0
 Avengers: Age Of Ultron,Bruce Banner,20
 Avengers: Age Of Ultron,Bucky Barnes,0
 Avengers: Age Of Ultron,Cassandra Lang,0
 Avengers: Age Of Ultron,Chester Phillips,0
 Avengers: Age Of Ultron,Christine Everhart,0
 Avengers: Age Of Ultron,Christine Palmer,0
 Avengers: Age Of Ultron,Clint Barton,15
 Avengers: Age Of Ultron,Col. James Rhodes,2.5
 Avengers: Age Of Ultron,Crossbones,0
 Avengers: Age Of Ultron,Darcy Lewis,0
 Avengers: Age Of Ultron,Darren Cross,0
 Avengers: Age Of Ultron,Dr. Abraham Erskine,0
 Avengers: Age Of Ultron,Dr. Helen Cho,3.25
 Avengers: Age Of Ultron,Dr. Stephen Strange,0
 Avengers: Age Of Ultron,Drax the Destroyer,0
 Avengers: Age Of Ultron,Ego the Living Planet,0
 Avengers: Age Of Ultron,Emil Blonsky,0
 Avengers: Age Of Ultron,Erik Selvig,0.75
 Avengers: Age Of Ultron,Fandral,0
 Avengers: Age Of Ultron,Frigga,0
 Avengers: Age Of Ultron,Gamora,0
 Avengers: Age Of Ultron,Gen. Thaddeus Ross,0
 Avengers: Age Of Ultron,Grandmaster,0
 Avengers: Age Of Ultron,Groot,0
 Avengers: Age Of Ultron,Hank Pym,0
 Avengers: Age Of Ultron,Happy Hogan,0
 Avengers: Age Of Ultron,Harley Keener,0
 Avengers: Age Of Ultron,Heimdall,0.5
 Avengers: Age Of Ultron,Hela,0
 Avengers: Age Of Ultron,Ho Yinsen,0
 Avengers: Age Of Ultron,Hogun,0
