moviename,charactername,time,totaltime
Ant-Man,Adrian Toomes,0,19
Ant-Man,Agent Phil Coulson,0,18.75
Ant-Man,Aldrich Killian,0,12
Ant-Man,Alexander Pierce,0,12.75
Ant-Man,Algrim,0,6.25
Ant-Man,Ancient One,0,17.25
Ant-Man,Arnim Zola,0,10.5
Ant-Man,Ayesha,0,3.5
Ant-Man,Baron Mordo,0,17.75
Ant-Man,Betty Ross,0,27
Ant-Man,Bruce Banner,0,112.75
Ant-Man,Bucky Barnes,0.25,43.5
Ant-Man,Cassandra Lang,4.5,4.5
Ant-Man,Chester Phillips,0,9.25
Ant-Man,Christine Everhart,0,5.25
Ant-Man,Christine Palmer,0,12.75
Ant-Man,Clint Barton,0,32.5
Ant-Man,Col. James Rhodes,0,46.5
Ant-Man,Crossbones,0,8.5
Ant-Man,Darcy Lewis,0,17.25
Ant-Man,Darren Cross,14.5,14.5
Ant-Man,Dr. Abraham Erskine,0,8.5
Ant-Man,Dr. Helen Cho,0,3.25
Ant-Man,Dr. Stephen Strange,0,76.25
Ant-Man,Drax the Destroyer,0,34.5
Ant-Man,Ego the Living Planet,0,17.5
Ant-Man,Emil Blonsky,0,18.5
Ant-Man,Erik Selvig,0,24
Ant-Man,Fandral,0,9.5
Ant-Man,Frigga,0,6
Ant-Man,Gamora,0,55
Ant-Man,Gen. Thaddeus Ross,0,17.75
Ant-Man,Grandmaster,0,6
Ant-Man,Groot,0,29.5
Ant-Man,Hank Pym,24.75,24.75
Ant-Man,Happy Hogan,0,17.75
Ant-Man,Harley Keener,0,6.25
Ant-Man,Heimdall,0,13.5
Ant-Man,Hela,0,12.25
Ant-Man,Ho Yinsen,0,11
Ant-Man,Hogun,0,8.25
Ant-Man,Hope van Dyne,15.75,15.75
Ant-Man,Howard Stark,1,8.75
Ant-Man,Ivan Vanko,0,20.75
Ant-Man,Jane Foster,0,46
Ant-Man,Jasper Sitwell,0,5.5
Ant-Man,Johann Schmidt,0,15.5
Ant-Man,Justin Hammer,0,16.5
Ant-Man,Kaecilius,0,12.75
Ant-Man,King Laufey,0,3.5
Ant-Man,Korg,0,3.75
Ant-Man,Kraglin,0,6.5
Ant-Man,Laura Barton,0,3.75
Ant-Man,Liz Allan,0,9.75
Ant-Man,Loki,0,75.25
Ant-Man,Luis,7,7
Ant-Man,Malekith the Accursed,0,8.75
Ant-Man,Mantis,0,11
Ant-Man,Maria Hill,0,11.75
Ant-Man,May Parker,0,5
Ant-Man,Maya Hansen,0,8.75
Ant-Man,Natasha Romanoff,0,89
Ant-Man,Nebula,0,15
Ant-Man,Ned Leeds,0,13.75
Ant-Man,Nick Fury,0,43.75
Ant-Man,Obadiah Stane,0,22
Ant-Man,Odin,0,23.75
Ant-Man,Paxton,4.5,4.5
Ant-Man,Peggy Carter,0.75,20.5
Ant-Man,Pepper Potts,0,64
Ant-Man,Peter Parker,0,84.75
Ant-Man,Peter Quill,0,82.5
Ant-Man,Pietro Maximoff,0,10.25
Ant-Man,Raza,0,6
Ant-Man,Rocket Raccoon,0,39.25
Ant-Man,Ronan the Accuser,0,7.75
Ant-Man,Sam Wilson,2.75,28
Ant-Man,Samuel Sterns,0,7.5
Ant-Man,Savin,0,6
Ant-Man,Scott Lang,50.5,56
Ant-Man,Sharon Carter,0,7.5
Ant-Man,Sif,0,11.5
Ant-Man,Skurge,0,6.75
Ant-Man,Steve Rogers,0.5,205.25
Ant-Man,T'Challa,0,11.5
Ant-Man,Taserface,0,4.25
Ant-Man,The Collector,0,3.75
Ant-Man,Thor,0,167.25
Ant-Man,Tinkerer,0,3.75
Ant-Man,Tony Stark,0,306
Ant-Man,Trevor Slattery,0,7.5
Ant-Man,Ultron,0,16.75
Ant-Man,Valkyrie,0,15.5
Ant-Man,Vision,0,13.5
Ant-Man,Volstagg,0,10.25
Ant-Man,Wanda Maximoff,0,23
Ant-Man,Wong,0,7
Ant-Man,Yondu Udonta,0,22.25
Ant-Man,Zemo,0,10.5
Avengers: Age Of Ultron,Adrian Toomes,0,19
Avengers: Age Of Ultron,Agent Phil Coulson,0,18.75
Avengers: Age Of Ultron,Aldrich Killian,0,12
Avengers: Age Of Ultron,Alexander Pierce,0,12.75
Avengers: Age Of Ultron,Algrim,0,6.25
Avengers: Age Of Ultron,Ancient One,0,17.25
Avengers: Age Of Ultron,Arnim Zola,0,10.5
Avengers: Age Of Ultron,Ayesha,0,3.5
Avengers: Age Of Ultron,Baron Mordo,0,17.75
Avengers: Age Of Ultron,Betty Ross,0,27
Avengers: Age Of Ultron,Bruce Banner,20,112.75
Avengers: Age Of Ultron,Bucky Barnes,0,43.5
Avengers: Age Of Ultron,Cassandra Lang,0,4.5
Avengers: Age Of Ultron,Chester Phillips,0,9.25
Avengers: Age Of Ultron,Christine Everhart,0,5.25
Avengers: Age Of Ultron,Christine Palmer,0,12.75
Avengers: Age Of Ultron,Clint Barton,15,32.5
Avengers: Age Of Ultron,Col. James Rhodes,2.5,46.5
Avengers: Age Of Ultron,Crossbones,0,8.5
Avengers: Age Of Ultron,Darcy Lewis,0,17.25
Avengers: Age Of Ultron,Darren Cross,0,14.5
Avengers: Age Of Ultron,Dr. Abraham Erskine,0,8.5
Avengers: Age Of Ultron,Dr. Helen Cho,3.25,3.25
Avengers: Age Of Ultron,Dr. Stephen Strange,0,76.25
Avengers: Age Of Ultron,Drax the Destroyer,0,34.5
Avengers: Age Of Ultron,Ego the Living Planet,0,17.5
Avengers: Age Of Ultron,Emil Blonsky,0,18.5
Avengers: Age Of Ultron,Erik Selvig,0.75,24
Avengers: Age Of Ultron,Fandral,0,9.5
Avengers: Age Of Ultron,Frigga,0,6
Avengers: Age Of Ultron,Gamora,0,55
Avengers: Age Of Ultron,Gen. Thaddeus Ross,0,17.75
Avengers: Age Of Ultron,Grandmaster,0,6
Avengers: Age Of Ultron,Groot,0,29.5
Avengers: Age Of Ultron,Hank Pym,0,24.75
Avengers: Age Of Ultron,Happy Hogan,0,17.75
Avengers: Age Of Ultron,Harley Keener,0,6.25
Avengers: Age Of Ultron,Heimdall,0.5,13.5
Avengers: Age Of Ultron,Hela,0,12.25
Avengers: Age Of Ultron,Ho Yinsen,0,11
Avengers: Age Of Ultron,Hogun,0,8.25
Avengers: Age Of Ultron,Hope van Dyne,0,15.75
Avengers: Age Of Ultron,Howard Stark,0,8.75
Avengers: Age Of Ultron,Ivan Vanko,0,20.75
Avengers: Age Of Ultron,Jane Foster,0,46
Avengers: Age Of Ultron,Jasper Sitwell,0,5.5
Avengers: Age Of Ultron,Johann Schmidt,0,15.5
Avengers: Age Of Ultron,Justin Hammer,0,16.5
Avengers: Age Of Ultron,Kaecilius,0,12.75
Avengers: Age Of Ultron,King Laufey,0,3.5
Avengers: Age Of Ultron,Korg,0,3.75
Avengers: Age Of Ultron,Kraglin,0,6.5
Avengers: Age Of Ultron,Laura Barton,3.75,3.75
Avengers: Age Of Ultron,Liz Allan,0,9.75
Avengers: Age Of Ultron,Loki,0,75.25
Avengers: Age Of Ultron,Luis,0,7
Avengers: Age Of Ultron,Malekith the Accursed,0,8.75
Avengers: Age Of Ultron,Mantis,0,11
Avengers: Age Of Ultron,Maria Hill,3,11.75
Avengers: Age Of Ultron,May Parker,0,5
Avengers: Age Of Ultron,Maya Hansen,0,8.75
Avengers: Age Of Ultron,Natasha Romanoff,18,89
Avengers: Age Of Ultron,Nebula,0,15
Avengers: Age Of Ultron,Ned Leeds,0,13.75
Avengers: Age Of Ultron,Nick Fury,3,43.75
Avengers: Age Of Ultron,Obadiah Stane,0,22
Avengers: Age Of Ultron,Odin,0,23.75
Avengers: Age Of Ultron,Paxton,0,4.5
Avengers: Age Of Ultron,Peggy Carter,0.25,20.5
Avengers: Age Of Ultron,Pepper Potts,0,64
Avengers: Age Of Ultron,Peter Parker,0,84.75
Avengers: Age Of Ultron,Peter Quill,0,82.5
Avengers: Age Of Ultron,Pietro Maximoff,10,10.25
Avengers: Age Of Ultron,Raza,0,6
Avengers: Age Of Ultron,Rocket Raccoon,0,39.25
Avengers: Age Of Ultron,Ronan the Accuser,0,7.75
Avengers: Age Of Ultron,Sam Wilson,0.75,28
Avengers: Age Of Ultron,Samuel Sterns,0,7.5
Avengers: Age Of Ultron,Savin,0,6
Avengers: Age Of Ultron,Scott Lang,0,56
Avengers: Age Of Ultron,Sharon Carter,0,7.5
Avengers: Age Of Ultron,Sif,0,11.5
Avengers: Age Of Ultron,Skurge,0,6.75
Avengers: Age Of Ultron,Steve Rogers,21.75,205.25
Avengers: Age Of Ultron,T'Challa,0,11.5
Avengers: Age Of Ultron,Taserface,0,4.25
Avengers: Age Of Ultron,The Collector,0,3.75
Avengers: Age Of Ultron,Thor,13.25,167.25
Avengers: Age Of Ultron,Tinkerer,0,3.75
Avengers: Age Of Ultron,Tony Stark,27.25,306
Avengers: Age Of Ultron,Trevor Slattery,0,7.5
Avengers: Age Of Ultron,Ultron,16.75,16.75
Avengers: Age Of Ultron,Valkyrie,0,15.5
Avengers: Age Of Ultron,Vision,6.25,13.5
Avengers: Age Of Ultron,Volstagg,0,10.25
Avengers: Age Of Ultron,Wanda Maximoff,12,23
Avengers: Age Of Ultron,Wong,0,7
Avengers: Age Of Ultron,Yondu Udonta,0,22.25
Avengers: Age Of Ultron,Zemo,0,10.5
Captain America: Civil War,Adrian Toomes,0,19
Captain America: Civil War,Agent Phil Coulson,0,18.75
Captain America: Civil War,Aldrich Killian,0,12
Captain America: Civil War,Alexander Pierce,0,12.75
Captain America: Civil War,Algrim,0,6.25
Captain America: Civil War,Ancient One,0,17.25
Captain America: Civil War,Arnim Zola,0,10.5
Captain America: Civil War,Ayesha,0,3.5
Captain America: Civil War,Baron Mordo,0,17.75
Captain America: Civil War,Betty Ross,0,27
Captain America: Civil War,Bruce Banner,0,112.75
Captain America: Civil War,Bucky Barnes,22,43.5
Captain America: Civil War,Cassandra Lang,0,4.5
Captain America: Civil War,Chester Phillips,0,9.25
Captain America: Civil War,Christine Everhart,0,5.25
Captain America: Civil War,Christine Palmer,0,12.75
Captain America: Civil War,Clint Barton,4.25,32.5
Captain America: Civil War,Col. James Rhodes,7.25,46.5
Captain America: Civil War,Crossbones,2.25,8.5
Captain America: Civil War,Darcy Lewis,0,17.25
Captain America: Civil War,Darren Cross,0,14.5
Captain America: Civil War,Dr. Abraham Erskine,0,8.5
Captain America: Civil War,Dr. Helen Cho,0,3.25
